date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:18	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://saurabhdaware.github.io/robots.txt		(from )
16:34:18	24697/24697	---M-Z	200	added ('OK')	text/html	etag:W/%2260eaa4f8-6079%22	https://saurabhdaware.github.io/text-to-handwriting/	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/index.html	(from )
16:34:18	13119/13119	---M--	200	added ('OK')	image/png	etag:%2260eaa4f8-333f%22	https://saurabhdaware.github.io/text-to-handwriting/images/apple-touch-icon.png	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/images/apple-touch-icon.png	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:19	1476/1476	---M--	200	added ('OK')	image/png	etag:%2260eaa4f8-5c4%22	https://saurabhdaware.github.io/text-to-handwriting/images/favicon-32x32.png	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/images/favicon-32x32.png	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:19	650/650	---M--	200	added ('OK')	image/png	etag:%2260eaa4f8-28a%22	https://saurabhdaware.github.io/text-to-handwriting/images/favicon-16x16.png	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/images/favicon-16x16.png	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:19	554/554	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%2260eaa4f8-22a%22	https://saurabhdaware.github.io/text-to-handwriting/manifest.webmanifest	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/manifest.webmanifest	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:19	8345/8345	---M-Z	200	added ('OK')	text/css	etag:W/%2260eaa4f8-2099%22	https://saurabhdaware.github.io/text-to-handwriting/css/index.css	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/css/index.css	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:19	2465/2465	---M-Z	200	added ('OK')	text/css	etag:W/%2260eaa4f8-9a1%22	https://saurabhdaware.github.io/text-to-handwriting/css/features.css	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/css/features.css	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:20	2901/2901	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260eaa4f8-b55%22	https://saurabhdaware.github.io/text-to-handwriting/images/sun.svg	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/images/sun.svg	(from https://saurabhdaware.github.io/text-to-handwriting/)
16:34:20	1241/1241	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260eaa4f8-4d9%22	https://saurabhdaware.github.io/text-to-handwriting/images/moon.svg	C:/Users/SINNU%20COMPACT/Desktop/2LET/handwriting/saurabhdaware.github.io/text-to-handwriting/images/moon.svg	(from https://saurabhdaware.github.io/text-to-handwriting/)
